Ticker,Name,Sector
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,MISCELLANEOUS
ASIANPAINT.NS,Asian Paints Limited,PAINTS
AXISBANK.NS,Axis Bank Limited,BANKING
BAJFINANCE.NS,Bajaj Finance Limited,FINANCE
BAJAJFINS.NS,Bajaj Finserv Limited,FINANCE
BHARTIARTL.NS,Bharti Airtel Limited,TELECOM
BPCL.NS,Bharat Petroleum Corporation Limited,ENERGY
CIPLA.NS,Cipla Limited,PHARMA
COALINDIA.NS,Coal India Limited,MINING
DIVISLAB.NS,Divi's Laboratories Limited,PHARMA
DRREDDY.NS,Dr. Reddy's Laboratories Limited,PHARMA
EICHERMOT.NS,Eicher Motors Limited,AUTO
GRASIM.NS,Grasim Industries Limited,TEXTILES
HCLTECH.NS,HCL Technologies Limited,SOFTWARE
HDFC.NS,HDFC Bank Limited,FIN. INSTITUTIONS
HDFCBANK.NS,HDFC BANK,BANKING
HDFCLIFE.NS,HDFC Life Insurance Company Limited,INSURANCE
HEROMOTOCO.NS,Hero MotoCorp Limited,AUTO
HINDALCO.NS,Hindalco Industries Limited,ALUMINIUM
HINDUNILVR.NS,Hindustan Unilever Limited,FMCG
ICICIBANK.NS,ICICI Bank Limited,BANKING
INDUSINDBK.NS,IndusInd Bank Limited,BANKING
INFY.NS,Infosys Limited,SOFTWARE
IOC.NS,Indian Oil Corporation Limited,OIL & GAS
ITC.NS,ITC Limited,FMCG
JSWSTEEL.NS,JSW Steel Limited,STEEL
KOTAKBANK.NS,Kotak Mahindra Bank Limited,BANKING
LT.NS,Larsen & Toubro Limited,ENGINEERING
M&M.NS,Mahindra & Mahindra Limited,AUTO
MARUTI.NS,Maruti Suzuki India Limited,AUTO
NESTLEIND.NS,Nestlé India Limited,FOOD BEVERAGES
NTPC.NS,NTPC Limited,POWER
ONGC.NS,Oil and Natural Gas Corporation Limited,ENERGY
POWERGRID.NS,Power Grid Corporation of India Limited,POWER
RELIANCE.NS,Reliance Industries Limited,ENERGY
SBIN.NS,State Bank of India,BANKING
SBILIFE.NS,SBI Life Insurance Company Limited,INSURANCE
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,PHARMA
TATACONSUM.NS,Tata Consumer Products Limited,FOOD BEVERAGES
TATAMOTORS.NS,Tata Motors Limited,AUTO
TATASTEEL.NS,Tata Steel Limited,STEEL
TCS.NS,Tata Consultancy Services Limited,SOFTWARE
TECHM.NS,Tech Mahindra Limited,SOFTWARE
TITAN.NS,Titan Company Limited,CONSUMER DURABLES
ULTRACEMCO.NS,UltraTech Cement Limited,CEMENT
UPL.NS,UPL Limited,CHEMICALS
WIPRO.NS,Wipro Limited,SOFTWARE
